Title,Date,Location,Department,Views,Amount(INR)
In Guttahalli BDA registration office paid the money to register property.,13-11-15,"Bangalore,Karnataka",Registration of Property,2501,5000
I Paid Rs. 1000 to Police in Salem.,13-11-15,"Salem,TamilNadu",Police Clearance Certificate,5778,1000
Driving License through Driving School,12-11-15,"Bangalore,Karnataka",New Domestic Driving License,2929,2000
Conductor allowing passengers to travel without tickets,12-11-15,"Bangalore,Karnataka",Public Transport,2818,60
I was going to office on the way to Wipro gachibowli near gopinath…,10-11-15,"Hyderabad,Telangana",Traffic Violations,3727,50
Mandatory charge (bribe) for Police verification for Passport,10-11-15,"Patna,Bihar",Police Verification for Passport,5519,1500
Bribe for property transfer and registration,08-11-15,"Bangalore,Karnataka",Transfer of Property,2705,10000
Paid bribe for overspeed challan,08-11-15,"Ambala,Haryana",Traffic Violations,4781,500
"I Paid Rs. 222 to Food, Civil Supplies and Consumer Affairs in Amadalavalasa.",08-11-15,"Amadalavalasa,AndhraPradesh",Issue of Ration Card,5380,222
I Paid Rs. 200 to Police in Hardoi.,08-11-15,"Hardoi,UttarPradesh",Filing FIR,2721,200
I Paid Rs. 67 to Municipal Services in Abhayapuri.,08-11-15,"Abhayapuri,Assam",Birth Certificate,4023,67
I Paid Rs. 1000 to Others in Madurai.,08-11-15,"Madurai,TamilNadu",Others,4707,1000
"I Paid Rs. 10 to Customs, Excise and Service Tax in Abohar.",08-11-15,"Abohar,Punjab",Customs Check and Clearance,4974,10
"I Paid Rs. 100 to Food, Civil Supplies and Consumer Affairs in Baripada.",08-11-15,"Baripada,Orissa",Issue of Ration Card,4629,100
"I Paid Rs. 6766 to Customs, Excise and Service Tax in Achhnera.",08-11-15,"Achhnera,UttarPradesh",Customs Check and Clearance,4534,6766
I Paid Rs. 100 to Municipal Services in Adari.,08-11-15,"Adari,UttarPradesh",Birth Certificate,4760,100
"I Paid Rs. 60 to Food, Civil Supplies and Consumer Affairs in Adilabad.",08-11-15,"Adilabad,Telangana",Issue of Ration Card,4833,60
I Paid Rs. 300 to Municipal Services in Eluru.,08-11-15,"Eluru,AndhraPradesh",Birth Certificate,3888,300
"I Paid Rs. 500 to Customs, Excise and Service Tax in Abohar.",08-11-15,"Abohar,Punjab",Customs Check and Clearance,4587,500
I Paid Rs. 25000 to Municipal Services in Hazaribagh.,08-11-15,"Hazaribagh,Jharkhand",Birth Certificate,2404,25000
I Paid Rs. 6000 to Income Tax in Chhatarpur.,08-11-15,"Chhatarpur,MadhyaPradesh",New PAN Card,4172,6000
I Paid Rs. 500 to Municipal Services in Abhayapuri.,08-11-15,"Abhayapuri,Assam",Birth Certificate,3291,500
"I Paid Rs. 123 to Food, Civil Supplies and Consumer Affairs in Jaunpur.",08-11-15,"Jaunpur,UttarPradesh",Issue of Ration Card,4575,123
"Bribe at Sub Registrar Office, Mahadevpura, Bangalore",08-11-15,"Bangalore,Karnataka",Registration of Sale Deed,7691,1000
I Paid Rs. 200 to Municipal Services in Abhayapuri.,08-11-15,"Abhayapuri,Assam",Birth Certificate,3580,200
I Paid Rs. 100 to Police in Abhayapuri.,07-11-15,"Abhayapuri,Assam",Filing FIR,3769,100
I Paid Rs. 120 to Railways in Hyderabad.,07-11-15,"Hyderabad,Telangana",Transport of Goods,3417,120
I Paid Rs. 4500 to Municipal Services in Abhayapuri.,07-11-15,"Abhayapuri,Assam",Birth Certificate,3243,4500
I Paid Rs. 1000 to Passport in Krishnanagar.,07-11-15,"Krishnanagar,WestBengal",Police Verification for Passport,3594,1000
I Paid Rs. 100 to Police in Ajmer.,07-11-15,"Ajmer,Rajasthan",Traffic Violations,3651,100
I Paid Rs. 10000 to Municipal Services in Kannur.,07-11-15,"Kannur,Kerala",Birth Certificate,2045,10000
I Paid Rs. 5000 to Others in Pali.,07-11-15,"Pali,Rajasthan",Others,1650,5000
I Paid Rs. 10000 to Municipal Services in Hyderabad.,07-11-15,"Hyderabad,Telangana",Birth Certificate,2254,10000
I Paid Rs. 479 to  in .,07-11-15,",",,12213,479
I Paid Rs. 10 to Municipal Services in Achhnera.,07-11-15,"Achhnera,UttarPradesh",Birth Certificate,2877,10
I Paid Rs. 5000 to Others in Anand.,07-11-15,"Anand,Gujarat",Others,3296,5000
I Paid Rs. 150 to Others in Hyderabad.,07-11-15,"Hyderabad,Telangana",Others,2380,150
I Paid Rs. 66000 to Municipal Services in Tumkur.,07-11-15,"Tumkur,Karnataka",Birth Certificate,4387,66000
I Paid Rs. 200 to Municipal Services in Kakinada.,07-11-15,"Kakinada,AndhraPradesh",Birth Certificate,2886,200
I Paid Rs. 400 to Transport in Ahmedabad.,07-11-15,"Ahmedabad,Gujarat",Registration of Vehicle,3678,400
I Paid Rs. 500 to Police in Kolkata.,07-11-15,"Kolkata,WestBengal",Filing FIR,3089,500
I Paid Rs. 100 to Municipal Services in Adari.,07-11-15,"Adari,UttarPradesh",Birth Certificate,3670,100
"I Paid Rs. 3243 to Commercial Tax, Sales Tax, VAT in Achhnera.",07-11-15,"Achhnera,UttarPradesh",C Form,3553,3243
"I Paid Rs. 3 to Commercial Tax, Sales Tax, VAT in Adari.",07-11-15,"Adari,UttarPradesh",C Form,4234,3
I Paid Rs. 45000 to Others in Bokaro.,07-11-15,"Bokaro,Jharkhand",Others,3906,45000
Police officer demanding a bribe claiming a 2 way street is a.one way street,07-11-15,"Kolkata,WestBengal",False Allegations,3215,200
I Paid Rs. 100 to Municipal Services in Chennai.,07-11-15,"Chennai,TamilNadu",Birth Certificate,1651,100
I Paid Rs. 100 to Transport in Bangalore.,07-11-15,"Bangalore,Karnataka",Duplicate Registration Certificate,1375,100
I Paid Rs. 200 to Passport in Surat.,07-11-15,"Surat,Gujarat",New Passport Application,5353,200
I Paid Rs. 150000 to Others in Bhubaneswar.,07-11-15,"Bhubaneswar,Orissa",Others,4244,150000
I Paid Rs. 100 to Municipal Services in Abhayapuri.,07-11-15,"Abhayapuri,Assam",Birth Certificate,3276,100
I Paid Rs. 1000 to Others in Pune.,07-11-15,"Pune,Maharashtra",Others,2083,1000
"I Paid Rs. 5000 to Commercial Tax, Sales Tax, VAT in Abohar.",07-11-15,"Abohar,Punjab",C Form,3479,5000
I Paid Rs. 100 to Municipal Services in Korba.,07-11-15,"Korba,Chhattisgarh",Birth Certificate,2427,100
I Paid Rs. 25 to Municipal Services in Adari.,07-11-15,"Adari,UttarPradesh",Birth Certificate,3098,25
I Paid Rs. 1110 to Others in Chennai.,07-11-15,"Chennai,TamilNadu",Others,1965,1110
"I Paid Rs. 5000 to Food, Civil Supplies and Consumer Affairs in Kurnool.",07-11-15,"Kurnool,AndhraPradesh",Issue of Ration Card,4166,5000
I Paid Rs. 50 to Municipal Services in Agra.,07-11-15,"Agra,UttarPradesh",Birth Certificate,4150,50
I Paid Rs. 50000 to Police in Abhayapuri.,07-11-15,"Abhayapuri,Assam",Filing FIR,3090,50000
I Paid Rs. 50 to Municipal Services in Jalpaiguri.,07-11-15,"Jalpaiguri,WestBengal",Birth Certificate,2300,50
I Paid Rs. 100 to Others in Cochin.,07-11-15,"Cochin,Kerala",Others,2889,100
I Paid Rs. 100 to Income Tax in Bankura.,07-11-15,"Bankura,WestBengal",New PAN Card,3802,100
I Paid Rs. 100 to Municipal Services in Chamba.,06-11-15,"Chamba,Uttarakhand",Birth Certificate,925,100
I Paid Rs. 50 to Municipal Services in New Delhi.,06-11-15,"NewDelhi,Delhi",Birth Certificate,2492,50
I Paid Rs. 1000 to Railways in Hyderabad.,06-11-15,"Hyderabad,Telangana",Transport of Goods,3275,1000
I Paid Rs. 15000 to Stamps and Registration in Meerut.,06-11-15,"Meerut,UttarPradesh",Registration of Property,4063,15000
I Paid Rs. 200 to Municipal Services in Rewa.,06-11-15,"Rewa,MadhyaPradesh",Birth Certificate,2329,200
I Paid Rs. 50000 to Municipal Services in Nagarkurnool.,06-11-15,"Nagarkurnool,Telangana",Birth Certificate,2956,50000
"I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.",06-11-15,"Abohar,Punjab",C Form,3714,100
I paid 1300 for a license and didn't even get it,06-11-15,"Bangalore,Karnataka",Driving licence Process,1867,1300
I Paid Rs. 2 to Passport in New Delhi.,05-11-15,"NewDelhi,Delhi",Passport Delivery,2789,2
I Paid Rs. 350 to Municipal Services in Mandla.,05-11-15,"Mandla,MadhyaPradesh",Birth Certificate,1186,350
I Paid Rs. 439 to Income Tax in Chamarajanagar.,05-11-15,"Chamarajanagar,Karnataka",New PAN Card,3758,439
I Paid Rs. 500 to Others in Hyderabad.,05-11-15,"Hyderabad,Telangana",Others,2560,500
I Paid Rs. 100 to Police in Patiala.,05-11-15,"Patiala,Punjab",Filing FIR,3679,100
I Paid Rs. 100 to Income Tax in New Delhi.,05-11-15,"NewDelhi,Delhi",New PAN Card,3551,100
Bribe for getting certificate for  shop estabilshment certificate,05-11-15,"Mumbai,Maharashtra",Shop Act License,2640,1000
I Paid Rs. 500 to Stamps and Registration in Pune.,05-11-15,"Pune,Maharashtra",Marriage Certificate,2089,500
I Paid Rs. 56 to Municipal Services in Ahmedabad.,05-11-15,"Ahmedabad,Gujarat",Birth Certificate,3270,56
I Paid Rs. 100 to Municipal Services in Abohar.,05-11-15,"Abohar,Punjab",Birth Certificate,3340,100
I Paid Rs. 20000 to Others in Coimbatore.,05-11-15,"Coimbatore,TamilNadu",Others,3365,20000
I Paid Rs. 1973 to Municipal Services in Viluppuram.,05-11-15,"Viluppuram,TamilNadu",Birth Certificate,3670,1973
I Paid Rs. 1200 to Municipal Services in Abhayapuri.,05-11-15,"Abhayapuri,Assam",Birth Certificate,3236,1200
I Paid Rs. 20 to Municipal Services in Amravati.,05-11-15,"Amravati,Maharashtra",Birth Certificate,2541,20
I Paid Rs. 100 to Income Tax in Hyderabad.,05-11-15,"Hyderabad,Telangana",New PAN Card,3131,100
I Paid Rs. 789 to Stamps and Registration in Abhayapuri.,04-11-15,"Abhayapuri,Assam",Marriage Certificate,2935,789
I Paid Rs. 100 to Stamps and Registration in Ahmadnagar.,04-11-15,"Ahmadnagar,Maharashtra",Registration of Property,3690,100
I Paid Rs. 10000 to Others in Kalahandi.,04-11-15,"Kalahandi,Orissa",Others,1657,10000
I Paid Rs. 20000 to Others in Ahmedabad.,04-11-15,"Ahmedabad,Gujarat",Others,3106,20000
I Paid Rs. 2000 to Police in Daudnagar.,04-11-15,"Daudnagar,Bihar",Traffic Violations,1704,2000
I Paid Rs. 20 to Municipal Services in Thanjavur.,04-11-15,"Thanjavur,TamilNadu",Birth Certificate,2726,20
I Paid Rs. 5000 to Municipal Services in Bhandara.,04-11-15,"Bhandara,MadhyaPradesh",Birth Certificate,1063,5000
"I Paid Rs. 2000 to Commercial Tax, Sales Tax, VAT in Abhayapuri.",04-11-15,"Abhayapuri,Assam",C Form,2992,2000
"I Paid Rs. 20000 to Food, Civil Supplies and Consumer Affairs in Coimbatore.",04-11-15,"Coimbatore,TamilNadu",Issue of Ration Card,3908,20000
I Paid Rs. 3000 to Municipal Services in Bokaro.,04-11-15,"Bokaro,Jharkhand",Birth Certificate,4190,3000
I Paid Rs. 220 to Others in Achhnera.,04-11-15,"Achhnera,UttarPradesh",Others,3046,220
I Paid Rs. 150 to Municipal Services in Chennai.,04-11-15,"Chennai,TamilNadu",Birth Certificate,1681,150
I Paid Rs. 38 to Income Tax in Gorakhpur.,04-11-15,"Gorakhpur,UttarPradesh",New PAN Card,4226,38
I Paid Rs. 100000 to Income Tax in Adari.,04-11-15,"Adari,UttarPradesh",New PAN Card,3601,100000
I Paid Rs. 200 to Others in New Delhi.,04-11-15,"NewDelhi,Delhi",Others,2203,200
I Paid Rs. 100000 to Income Tax in Nagercoil.,04-11-15,"Nagercoil,TamilNadu",New PAN Card,4270,100000
I Paid Rs. 10000 to Police in Hyderabad.,04-11-15,"Hyderabad,Telangana",Police Harassment,2153,10000
I Paid Rs. 10000 to Police in Malkangiri.,04-11-15,"Malkangiri,Orissa",Filing FIR,1864,10000
"I Paid Rs. 11000 to Commercial Tax, Sales Tax, VAT in Pune.",04-11-15,"Pune,Maharashtra",C Form,2598,11000
I Paid Rs. 55555 to Others in Rajkot.,04-11-15,"Rajkot,Gujarat",Others,2960,55555
I Paid Rs. 90 to Transport in Hyderabad.,04-11-15,"Hyderabad,Telangana",New Domestic Driving License,2204,90
I Paid Rs. 100 to Transport in Hyderabad.,04-11-15,"Hyderabad,Telangana",Registration of Vehicle,2236,100
I Paid Rs. 10000 to Municipal Services in Pune.,03-11-15,"Pune,Maharashtra",Birth Certificate,2030,10000
I Paid Rs. 6000 to Municipal Services in Dharmapuri.,03-11-15,"Dharmapuri,TamilNadu",Birth Certificate,4018,6000
I Paid Rs. 100 to Others in Jhunjhunun.,03-11-15,"Jhunjhunun,Rajasthan",Others,2918,100
I Paid Rs. 10 to Others in Achhnera.,03-11-15,"Achhnera,UttarPradesh",Others,2885,10
I Paid Rs. 500 to Municipal Services in Nellore.,03-11-15,"Nellore,AndhraPradesh",Birth Certificate,3514,500
I Paid Rs. 788 to Municipal Services in Abohar.,03-11-15,"Abohar,Punjab",Birth Certificate,3374,788
LAKSHMINARAYAN THE MOST CORRUPT IN KARNATAKA STATE POLLUTION CONTROL BOARD,03-11-15,"Bangalore,Karnataka",Others,3103,25000
Paid Bribe to Get Degree,03-11-15,"NewDelhi,Delhi",School or College Related Activities,3623,20000
I Paid Rs. 20 to Municipal Services in Abhayapuri.,03-11-15,"Abhayapuri,Assam",Birth Certificate,2739,20
I Paid Rs. 15000 to Stamps and Registration in Nagpur.,03-11-15,"Nagpur,Maharashtra",Marriage Certificate,4735,15000
I Paid Rs. 111 to Municipal Services in Solapur.,03-11-15,"Solapur,Maharashtra",Birth Certificate,3715,111
I Paid Rs. 344 to Municipal Services in Almora.,03-11-15,"Almora,Uttarakhand",Birth Certificate,2019,344
Paid Bribe for Borewell drilling in Bangalore,03-11-15,"Bangalore,Karnataka",Water Connection under Sajala,4275,3700
I Paid Rs. 111 to Municipal Services in Abohar.,03-11-15,"Abohar,Punjab",Birth Certificate,3318,111
I Paid Rs. 1 to Municipal Services in Mumbai.,03-11-15,"Mumbai,Maharashtra",Birth Certificate,2142,1
I Paid Rs. 5000 to Police in Thane.,03-11-15,"Thane,Maharashtra",Filing FIR,4332,5000
I Paid Rs. 500 to Municipal Services in Lucknow.,03-11-15,"Lucknow,UttarPradesh",Birth Certificate,3702,500
I Paid Rs. 100 to Municipal Services in Mumbai.,03-11-15,"Mumbai,Maharashtra",Birth Certificate,2075,100
I Paid Rs. 1000 to Police in Hazaribagh.,03-11-15,"Hazaribagh,Jharkhand",Traffic Violations,1938,1000
"I Paid Rs. 50000 to Food, Civil Supplies and Consumer Affairs in Abohar.",03-11-15,"Abohar,Punjab",Issue of Ration Card,3780,50000
"I Paid Rs. 500000 to Commercial Tax, Sales Tax, VAT in Kolkata.",03-11-15,"Kolkata,WestBengal",C Form,3435,500000
Bribe for passport verification,02-11-15,"Bangalore,Karnataka",Police Verification for Passport,1145,200
I Paid Rs. 2 to Police in Adari.,02-11-15,"Adari,UttarPradesh",Filing FIR,3611,2
I Paid Rs. 10000 to Railways in Chandigarh.,02-11-15,"Chandigarh,Chandigarh",Transport of Goods,5806,10000
Asked bribe at the heart of Delhi by traffic police,02-11-15,"NewDelhi,Delhi",Traffic Violations,2263,600
"I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Durgapur.",02-11-15,"Durgapur,WestBengal",C Form,3721,100
I Paid Rs. 20 to Others in Pune.,02-11-15,"Pune,Maharashtra",Others,2109,20
I Paid Rs. 1200 to Others in Mumbai.,02-11-15,"Mumbai,Maharashtra",Others,2207,1200
I Paid Rs. 100 to Municipal Services in Itanagar.,02-11-15,"Itanagar,ArunachalPradesh",Birth Certificate,1569,100
I Paid Rs. 464001 to Municipal Services in Vidisha.,02-11-15,"Vidisha,MadhyaPradesh",Birth Certificate,3870,464001
I Paid Rs. 120200 to Transport in Alipurduar.,02-11-15,"Alipurduar,WestBengal",Registration of Vehicle,2476,120200
I Paid Rs. 1200 to Municipal Services in Kochi.,02-11-15,"Kochi,Kerala",Birth Certificate,3032,1200
I Paid Rs. 10000 to Police in Mahesana.,02-11-15,"Mahesana,Gujarat",Traffic Violations,3167,10000
I Paid Rs. 200 to Income Tax in Pune.,02-11-15,"Pune,Maharashtra",New PAN Card,3254,200
I Paid Rs. 20000 to Others in Hyderabad.,02-11-15,"Hyderabad,Telangana",Others,2141,20000
"I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Kolkata.",02-11-15,"Kolkata,WestBengal",Issue of Ration Card,3924,500
I Paid Rs. 111 to Municipal Services in Chennai.,01-11-15,"Chennai,TamilNadu",Birth Certificate,1713,111
I Paid Rs. 200 to Municipal Services in Adilabad.,01-11-15,"Adilabad,Telangana",Birth Certificate,3856,200
I Paid Rs. 2000 to Income Tax in Abohar.,01-11-15,"Abohar,Punjab",New PAN Card,3428,2000
"I Paid Rs. 100 to Customs, Excise and Service Tax in Abohar.",01-11-15,"Abohar,Punjab",Customs Check and Clearance,3731,100
I Paid Rs. 345 to Municipal Services in Abhayapuri.,01-11-15,"Abhayapuri,Assam",Birth Certificate,2610,345
I Paid Rs. 33 to Municipal Services in Achhnera.,01-11-15,"Achhnera,UttarPradesh",Birth Certificate,2872,33
"I Paid Rs. 524001 to Commercial Tax, Sales Tax, VAT in Abohar.",01-11-15,"Abohar,Punjab",C Form,2901,524001
I Paid Rs. 200 to Police in New Delhi.,01-11-15,"NewDelhi,Delhi",Traffic Violations,1988,200
I Paid Rs. 1000 to Municipal Services in Mansa.,01-11-15,"Mansa,Punjab",Birth Certificate,1472,1000
I Paid Rs. 108 to Income Tax in Rae Bareli.,01-11-15,"RaeBareli,UttarPradesh",New PAN Card,3863,108
I Paid Rs. 100 to Municipal Services in Dehradun.,01-11-15,"Dehradun,Uttarakhand",Birth Certificate,4661,100
I Paid Rs. 105 to Income Tax in Bhopal.,01-11-15,"Bhopal,MadhyaPradesh",New PAN Card,4907,105
I Paid Rs. 100 to Others in Bahraich.,01-11-15,"Bahraich,UttarPradesh",Others,4413,100
I Paid Rs. 1000 to Passport in Kollam.,01-11-15,"Kollam,Kerala",Police Verification for Passport,3473,1000
"I Paid Rs. 12345 to Commercial Tax, Sales Tax, VAT in Abohar.",01-11-15,"Abohar,Punjab",C Form,2617,12345
I Paid Rs. 50 to Municipal Services in Imphal.,01-11-15,"Imphal,Manipur",Birth Certificate,2182,50
I Paid Rs. 100 to Municipal Services in Adari.,01-11-15,"Adari,UttarPradesh",Birth Certificate,2833,100
I Paid Rs. 10000 to Police in Kolar.,01-11-15,"Kolar,Karnataka",Filing FIR,3881,10000
I Paid Rs. 4552 to Municipal Services in Achhnera.,01-11-15,"Achhnera,UttarPradesh",Birth Certificate,2685,4552
