Title,Date,Location,Department,Views,Amount(INR)
Top-O-Matic Poweroll 2 Electric/Electronic Cigarette Rolling Machine,30-01-20,"Adari,UttarPradesh",Others,2099,12000
INR 100 TAKEN FOR ATTESTED OF A SINGLE STUDENT PASSPORT SIZE PHOTO,30-01-20,"Pune,Maharashtra",Notary,2478,100
Police ask for bribe,28-01-20,"Patna,Bihar",Policies and Procedures,2330,1000
Brive for admission in sainik school ghorakhal,28-01-20,"Nainital,Uttarakhand",College Leaving Certificate,2563,50000
Village accountant bribed for land MR document,27-01-20,"Hassan,Karnataka",Certificates,1635,30000
Police verification,25-01-20,"Mandamarri,Telangana",Issue and Renewal of Passport,1189,500
A doctor took a bribe from my maid,25-01-20,"Bangalore,Karnataka",Hospitals and Medical Care,1623,300
A H Dilip Kumar,25-01-20,"Bangalore,Karnataka",Customs Check and Clearance,1694,10000
Taking bribes n illegal capture of lands grown wealth in crores,24-01-20,"Shahdol,MadhyaPradesh",Services,1074,100000
Iam builders,23-01-20,"NewDelhi,Delhi",Building Construction Approval,3141,500000
Police verification for Passport,22-01-20,"Osmanabad,Maharashtra",Verification and Certificates,1037,1500
Classic Hoverboard Swegway For Sale in UK,22-01-20,"Adari,UttarPradesh",Others,2235,1200
Fifteen Gallon RootGuard Heavy Duty Gopher Wire Baskets - Assorted Sizes,21-01-20,"Adoni,AndhraPradesh",Others,1832,2111
Fifteen Gallon RootGuard Heavy Duty Gopher Wire Baskets - Assorted Sizes,21-01-20,"Adoni,AndhraPradesh",Others,1764,12222
Paid 500 rupees as bribe in name of Flag day fund at Avadi Municipality,21-01-20,"Chennai,TamilNadu",Certificates,3082,500
Forced bribe,19-01-20,"Bharatpur,Rajasthan",Tax and Permits,1154,30
Bribery asked for even doing their job,18-01-20,"Varanasi,UttarPradesh",Savings Scheme,1398,100
Heavy Duty Front Wheel For Standard Hoverkart/Hovercart UK,16-01-20,"Adilabad,Telangana",Others,2262,1200
Tashildar and Billing Department Bhadravathi,16-01-20,"Shimoga,Karnataka",Others,1949,200
Moti Ram clerk in Municipal Corporation Faridabad,15-01-20,"Faridabad,Haryana",Services,1673,4000
Aluminum Cigarette Pocket Case | Aluminum Alloy Tri-Fold Cigarette Case,15-01-20,"Adilabad,Telangana",Others,1654,1200
Police Taking Bribe even after providing all the required documents,14-01-20,"Bangalore,Karnataka",FIR and Complaints,1509,1000
Paid Bribe to settle matter with offender,10-01-20,"Bangalore,Karnataka",FIR and Complaints,1570,1100
Paid 500 Rs bribe at Nizamuddin Station Saraikalekhan side Exit,10-01-20,"NewDelhi,Delhi",,1926,500
Bribe demanded during passport verification process,08-01-20,"Kanpur,UttarPradesh",Policies and Procedures,1998,900
Regarding the bribe at MUDA office mysuru,08-01-20,"Mysore,Karnataka",Building and Housing,2634,9000
Wrong parking,07-01-20,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1521,1000
XTM Racing | XTM Racing Rail & Engines at RBinnovations.com,07-01-20,"Achhnera,UttarPradesh",Others,1818,1200
Powermatic 2 Plus or Powermatic 2+ Electric Cigarette Machine,07-01-20,"Adilabad,Telangana",Others,1942,1200
Corrupt india,07-01-20,"Ahmedabad,Gujarat",Customs,2444,42000
